Restaurant ,Category,Item_Name ,Item_Description,Calories,Carbs,Fat,Protein,Fiber,TransFat,Sodium,Sugar
Applebee's,Appetizers & Sides,"Boneless Wings, Sweet & Spicy Sauce","Boneless Wings, Sweet & Spicy Sauce, Appetizers, As Served; Choice of Adding Dipping Sauce: Ranch or Blue Cheese",1150,90,55,71,8,0.5,3390,0
Applebee's,Appetizers & Sides,"Boneless Wings, Hot Buffalo","Boneless Wings, Hot Buffalo, Appetizers, As Served; Choice of Adding Dipping Sauce: Ranch or Blue Cheese",1170,67,70,71,8,1,3900,0
Olive Garden,Entrees,"Chicken Alfredo, Dinner","Chicken Alfredo, Dinner",1440,103,82,71,5,0,2070,0
LongHorn Steakhouse,Sandwiches,Braised BBQ Beef Sandwich,"Braised BBQ Beef Sandwich, Steakhouse Sandwiches",930,71,41,71,0,0,2570,0
Subway,Sandwiches,"Chicken & Bacon Ranch Melt, Footlong","Chicken & Bacon Ranch Melt on 9-Grain Wheat Bread w/ Monterey Cheddar, Footlong",1140,94,56,70,10,1,2160,16
O'Charley's,Entrees,Chicken Italia,Chicken Italia,1330,93,75,70,6,6,2340,9
California Pizza Kitchen,Entrees,Chicken Piccata,Chicken Piccata,1250,79,72,70,4,0,1753,5
Friendly's,Entrees,"Chicken Quesadilla, Munchies","Chicken Quesadilla, Munchies",1210,63,74,70,4,0,2490,5
El Pollo Loco,Entrees,Ultimate Pollo Bowl,Ultimate Pollo Bowl,960,92,34,70,12,0,2280,4
Outback Steakhouse,Entrees,Sirloin 9 oz & Grilled Shrimp,Sirloin 9 oz & Grilled Shrimp,612,6,36,70,1,1.3,835,3
O'Charley's,Entrees,"Prime Time Prime Rib, 16 oz","Prime Time Prime Rib, 16 oz",1060,4,68,70,1,2,2470,1
Olive Garden,Entrees,"Spaghetti & Italian Sausage, Dinner","Spaghetti & Italian Sausage, Dinner",1270,97,67,70,15,0,3090,0
